department,commodity_desc,total_sales,baskets,customers,units,coupon_line_rate,avg_sales_per_line,sales_share
HBC,INFANT CARE PRODUCTS,9.42,4,4,4,0.0,2.355,1.1691024713947556e-06
GM MERCH EXP,UNKNOWN,9.04,2,2,3,0.0,4.52,1.1219412252026104e-06
CHARITABLE CONT,UNKNOWN,7.74,2,2,3,0.0,3.87,9.6060011980843e-07
PROD-WHS SALES,PROD SUPPLIES,7.52,4,2,4,0.0,1.88,9.3329624043403e-07
MEAT-WHSE,COUPON,7.0,6,5,7,0.0,1.1666666666666667,8.687597982763577e-07
POSTAL CENTER,CANDY - CHECKLANE,6.6000000000000005,13,5,20,0.0,0.5076923076923078,8.191163812319945e-07
FROZEN GROCERY,MISCELLANEOUS CROUTONS,6.39,1,1,1,0.0,6.39,7.930535872837037e-07
DAIRY DELI,MILK BY-PRODUCTS,5.78,1,1,2,0.0,5.78,7.173473762910496e-07
TRAVEL & LEISUR,TROPICAL FRUIT,5.720000000000001,5,4,6,0.0,0.9533333333333335,7.099008637343953e-07
TRAVEL & LEISUR,MELONS,4.4,2,2,2,0.0,2.2,5.460775874879963e-07
TRAVEL & LEISUR,BERRIES,3.0,1,1,2,0.0,3.0,3.723256278327247e-07
FLORAL,PROD SUPPLIES,2.99,1,1,1,0.0,2.99,3.710845424066157e-07
HOUSEWARES,UNKNOWN,2.99,1,1,1,0.0,2.99,3.710845424066157e-07
DELI,COFFEE SHOP,2.9699999999999998,3,2,3,0.0,0.9899999999999999,3.6860237155439744e-07
PRODUCE,MISCELLANEOUS(CORP USE ONLY),2.29,1,1,1,0.0,2.29,2.842085625789799e-07
MEAT,LUNCHMEAT,2.2,1,1,1,0.0,2.2,2.7303879374399814e-07
GRO BAKERY,SNACK NUTS,2.18,1,1,2,0.0,1.09,2.7055662289178e-07
AUTOMOTIVE,NEWSPAPER,1.0,2,2,2,0.0,0.5,1.2410854261090824e-07
ELECT &PLUMBING,COUPON,1.0,1,1,1,0.0,1.0,1.2410854261090824e-07
MEAT,MISCELLANEOUS,0.95,1,1,1,0.0,0.95,1.1790311548036283e-07
MEAT,BACON,0.3,1,1,1,0.0,0.3,3.7232562783272475e-08
 , ,0.0,7392,1423,0,0.6308202576859293,0.0,0.0
