seller_id,total_orders,error_orders,error_rate
5343d0649eca2a983820bfe93fc4d17e,71,7,9.86
116ccb1a1604bc88e4d234a8c23f33de,61,6,9.84
17e34d8224d27a541263c4c64b11a56b,255,25,9.8
4371b634e0efc0e22b09b52907d9d469,102,10,9.8
b2ba3715d723d245138f291a6fe42594,337,33,9.79
1d8dbc4f32378d715c717c1c1fc57bae,92,9,9.78
5656537e588803a555b8eb41f07a944b,174,17,9.77
1554a68530182680ad5c8b042c3ab563,247,24,9.72
4e06067cc08b3f41d837768d392c3ee3,31,3,9.68
f45122a9ab94eb4f3f8953578bc0c560,187,18,9.63
2a7dc43cecabf23403078e2188437d1d,52,5,9.62
318f287a62ab7ac10b703ac37435a231,52,5,9.62
17a053fcb14bd219540cbde0df490be0,125,12,9.6
ff063b022a9a0aab91bad2c9088760b7,94,9,9.57
218d46b86c1881d022bce9c68a7d4b15,388,37,9.54
c013e57c075a06e5b5c48ee03c525719,42,4,9.52
c847e075301870dd144a116762eaff9a,42,4,9.52
ad420dd0c4f92f8af951ac24b86d0cf5,42,4,9.52
4559697a8f7e637227c2eeaed843baff,42,4,9.52
4c18691b6037662be2df78a765d98ab5,63,6,9.52
1d4587203296c8f4ad134dc286fa6db0,42,4,9.52
17ca9b9e9b9ef8fdb529001b49ebb50f,116,11,9.48
1336efc61c316ddf92c899eb817f7cae,74,7,9.46
7040e82f899a04d1b434b795a43b4617,212,20,9.43
7b0df942f46435babab05d49b744b2c4,32,3,9.38
20cb7c2fde3e5bf10f0bbe7394e1c6a9,32,3,9.38
3340ef1913fb70d28420f6ceb685c339,32,3,9.38
fad44952713764836814be105382aee5,32,3,9.38
ea67327e24487bdfac5fbfa37ea124df,32,3,9.38
2745f798279e0ed033addcc1474776d7,32,3,9.38
ed4acab38528488b65a9a9c603ff024a,32,3,9.38
5f3ae9136c875522250f8184f253413a,43,4,9.3
e067ad2c1c0b48758eb1b5228bcf7a68,54,5,9.26
70eea00b476a314817cefde4aad4f89a,108,10,9.26
a17f621c590ea0fab3d5d883e1630ec6,65,6,9.23
609e1a9a6c2539919b8205cf7c4e6ff0,87,8,9.2
aac29b1b99776be73c3049939652091d,98,9,9.18
7ea5bfa6c340f58f8e71fc1f0412b0d6,98,9,9.18
4b9750c8ad28220fe6702d4ecb7c898f,218,20,9.17
c003204e1ab016dfa150abc119207b24,197,18,9.14
