feature,abs_coefficient
feature_010,0.17021564199077022
feature_011,0.16978291677057938
feature_087,0.16903314015146728
feature_285,0.165756728389006
feature_204,0.16442596409488505
feature_560,0.16419777697941
feature_079,0.16371124398491455
feature_108,0.16348687418172023
feature_021,0.16299859993982158
feature_024,0.16250818578165754
feature_211,0.1623641415434628
feature_048,0.16172909680744854
feature_058,0.16102194238641057
feature_304,0.160417740200267
feature_483,0.15911513178452502
feature_431,0.15902165308687144
feature_562,0.1589056628637217
feature_046,0.15804452146225026
feature_007,0.15683357048766236
feature_083,0.1544480650279785
feature_103,0.15417354589353133
feature_196,0.15276470745907048
feature_438,0.1506112393818948
feature_166,0.14904175611752318
feature_491,0.14900355970261406
feature_045,0.14809846323311687
feature_281,0.14801219618046688
feature_334,0.14792957559245176
feature_038,0.1465860164535581
feature_088,0.1462668653283361
feature_305,0.14621061130311475
feature_239,0.14516161284874088
feature_521,0.14508036664049195
feature_557,0.14468647985631058
feature_030,0.14436031238764782
feature_302,0.1439961051408744
feature_274,0.1438317065720502
feature_094,0.14348033811476005
feature_554,0.14101264567948946
feature_127,0.13981641143430049
feature_139,0.1392491429159227
feature_165,0.13897335679968637
feature_577,0.13825562581536485
feature_160,0.13770679458912305
feature_442,0.13761571403200637
feature_331,0.13707851783464292
feature_470,0.13645045251976026
feature_558,0.13632396413597941
feature_009,0.13613446960380954
feature_356,0.13520910310627518
feature_044,0.13507032975994615
feature_151,0.13374472848965874
feature_546,0.13305509345411493
feature_061,0.1330184720632367
feature_134,0.13201328644336977
feature_338,0.131911954613239
feature_360,0.13145411902456688
feature_163,0.12962231562058002
feature_311,0.12945162344733543
feature_050,0.12932230430571437
feature_298,0.12712657106020087
feature_444,0.1255317679986863
feature_424,0.1253786453856372
feature_116,0.12446903349955547
feature_092,0.12409667199320144
feature_359,0.12403465114093785
feature_173,0.12356674500311549
feature_026,0.1222200633200087
feature_551,0.12171894766462504
feature_490,0.1212818355760879
feature_271,0.12119018680445237
feature_493,0.12106951669570828
feature_202,0.12044235612644526
feature_070,0.11898407171425408
feature_454,0.11869900063507952
feature_198,0.11810498262348973
feature_150,0.11791603544727003
feature_037,0.11760837803962172
feature_065,0.1172663499930814
feature_091,0.11567269857188207
feature_078,0.1139344035082385
feature_035,0.11354057478090714
feature_213,0.1135004958097618
feature_043,0.11278513890947486
feature_300,0.11112775673910298
feature_115,0.11109206371545756
feature_124,0.11025420871005676
feature_589,0.10978648533191018
feature_574,0.10978275364760866
feature_057,0.10893405308988294
feature_286,0.10844851371293777
feature_523,0.10756572830794216
feature_556,0.10725259873127949
feature_273,0.10678729989484619
feature_228,0.10601054680714006
feature_221,0.10310054862202003
feature_587,0.10256538183983983
feature_350,0.102001108159794
feature_389,0.1019832017222797
feature_029,0.10188502418687792
feature_251,0.10075896707274305
feature_550,0.10034299951849288
feature_001,0.1000561641745192
feature_003,0.09952072970171084
feature_495,0.09918867551801616
